"ISBN","title","genre","copies","author","checked_out_by","series_id"
9780593691397,"Nightshade Revenge","Mystery",3,"Anthony Horowitz",NULL,14
9780810993136,"Diary of a Wimpy Kid","Comedy",4,"Jeff Kinney",NULL,15
9780810994737,"Rodrick Rules","Comedy",5,"Jeff Kinney",NULL,15
9780810988927,"The Last Straw","Comedy",2,"Jeff Kinney",NULL,15
9780810989931,"Dog Days","Comedy",1,"Jeff Kinney",NULL,15
9780810989955,"The Ugly Truth","Comedy",2,"Jeff Kinney",NULL,15
9781419702235,"Cabin Fever","Comedy",5,"Jeff Kinney",NULL,15
9781419705847,"The Third Wheel","Comedy",3,"Jeff Kinney",NULL,15
9781419711329,"Hard Luck","Comedy",3,"Jeff Kinney",NULL,15
9781419714887,"The Long Haul","Comedy",3,"Jeff Kinney",NULL,15
9781419723452,"Old School","Comedy",3,"Jeff Kinney",NULL,15
9781419745751,"Double Down","Comedy",3,"Jeff Kinney",NULL,15
9781419741999,"The Getaway","Comedy",4,"Jeff Kinney",NULL,15
9781419741869,"The Meltdown","Comedy",2,"Jeff Kinney",NULL,15
9781595141743,"Vampire Academy","Romance",3,"Richelle Mead",NULL,16
9781595141750,"Frostbite","Romance",1,"Richelle Mead",NULL,16
9781595141972,"Shadow Kiss","Romance",1,"Richelle Mead",NULL,16
9781595141989,"Blood Promise","Romance",1,"Richelle Mead",NULL,16
9781595142504,"Spirit Bound","Romance",3,"Richelle Mead",NULL,16
9781595143068,"Last Sacrifice","Romance",3,"Richelle Mead",NULL,16
9780307269751,"The Girl with the Dragon Tattoo","Crime",2,"Stieg Larsson",NULL,17
9780307269980,"The Girl Who Played with Fire","Crime",4,"Stieg Larsson",NULL,17
9780307269997,"The Girl Who Kicked the Hornets' Nest","Crime",4,"Stieg Larsson",NULL,17
